run_id,run_name,loss_type,lr,margin,scale,k,eer_final,eer_epoch1,eer_drop,eer_stability,diverged,n_epochs
wsnvdz8g,LA-CDIP_InternVL3-2B_subcenter_arcface_20260217-150256,subcenter_arcface,0.000113280641782026,0.3833316102976864,32.0,3,0.014925373134328358,0.1654228855721393,0.15049751243781095,0.06530558149578665,False,3
e4az6lui,LA-CDIP_InternVL3-2B_subcenter_cosface_20260217-160259,subcenter_cosface,0.00022717388329946209,0.5316484254810417,32.0,1,0.07898009950248758,0.17583955223880599,0.09685945273631841,0.04400659934939212,False,3
jhxstygo,LA-CDIP_InternVL3-2B_subcenter_cosface_20260217-170340,subcenter_cosface,8.357947088900784e-06,0.1403551776429476,32.0,1,0.010416666666666685,0.010416666666666685,0.0,0.0035179441850076995,True,3
i37nu1kx,LA-CDIP_InternVL3-2B_subcenter_cosface_20260217-180333,subcenter_cosface,0.00015363542166800455,0.5006471697493444,32.0,1,0.06110074626865672,0.09685945273631838,0.03575870646766166,0.01540216983721403,False,3
po1wm19a,LA-CDIP_InternVL3-2B_subcenter_cosface_20260217-190346,subcenter_cosface,3.809132405134264e-06,0.21026492162736524,32.0,1,0.010416666666666685,0.017879353233830865,0.00746268656716418,0.0035179441850076995,False,3
0kz5etj6,LA-CDIP_InternVL3-2B_subcenter_cosface_20260217-200347,subcenter_cosface,1.0752299738113446e-06,0.15786445102841903,32.0,1,0.017879353233830865,0.017879353233830865,0.0,0.0,False,3
pdtxocpi,LA-CDIP_InternVL3-2B_subcenter_cosface_20260217-210403,subcenter_cosface,1.0296973076775496e-06,0.35632655572695604,32.0,1,0.017879353233830865,0.017879353233830865,0.0,0.0,False,3
iccqulwr,LA-CDIP_InternVL3-2B_subcenter_cosface_20260217-220400,subcenter_cosface,4.380696711483235e-06,0.28497303671247587,32.0,1,0.010416666666666685,0.017879353233830865,0.00746268656716418,0.0035179441850076995,False,3
sr8k6wki,LA-CDIP_InternVL3-2B_subcenter_cosface_20260217-230421,subcenter_cosface,2.5388957512080854e-06,0.2605085633300269,32.0,1,0.010416666666666685,0.017879353233830865,0.00746268656716418,0.0035179441850076995,False,3
x3k0etzv,LA-CDIP_InternVL3-2B_subcenter_cosface_20260218-000435,subcenter_cosface,4.103648560844785e-06,0.24550224249843103,32.0,1,0.010416666666666685,0.017879353233830865,0.00746268656716418,0.0035179441850076995,False,3
q1bnjgkt,LA-CDIP_InternVL3-2B_subcenter_cosface_20260218-010431,subcenter_cosface,0.0009894018035217144,0.11643818695773286,32.0,1,0.43470149253731344,0.5270522388059702,0.09235074626865675,0.03878189709072756,False,3
1drncnck,LA-CDIP_InternVL3-2B_subcenter_cosface_20260218-020444,subcenter_cosface,4.23788393835952e-06,0.5961152577969623,32.0,1,0.010416666666666685,0.017879353233830865,0.00746268656716418,0.0035179441850076995,False,3
